floor,point_id,ssid,bssid,rssi_dbm,channel,width_mhz,band,security_string
Second,44,[Hidden],8a:15:14:53:3c:3f,-69.0,108,80,5GHz,[WEP][ESS][WEP]
Second,44,Plainsboro-Public-Library,e2:55:7d:bc:13:60,-69.0,6,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:14:53:49:70,-69.0,157,40,5GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:53:49:40,-69.0,6,20,2.4GHz,[ESS][Unknown]
Second,44,[Hidden],e2:55:7d:bc:13:6f,-69.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,44,Plainsboro-Public-Library,8a:15:14:53:3c:30,-70.0,108,80,5GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:14:52:23:c0,-70.0,153,20,5GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,8a:15:04:52:1c:80,-77.0,11,20,2.4GHz,[ESS][Unknown]
Second,44,Plainsboro-Public-Library,e2:55:6d:bc:13:60,-77.0,108,80,5GHz,[ESS][Unknown]
Second,44,[Hidden],8a:15:14:53:49:4f,-79.0,48,80,5GHz,[WEP][ESS][WEP]
Second,44,Plainsboro-Public-Library,8a:15:14:53:49:40,-79.0,48,80,5GHz,[ESS][Unknown]
Second,44,CP1300-938B59,f8:a2:6d:93:8b:59,-82.0,2,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:04:53:33:90,-39.0,6,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:14:53:33:90,-44.0,36,80,5GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:04:53:3c:30,-57.0,11,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:04:51:e6:20,-57.0,1,20,2.4GHz,[ESS][Unknown]
Second,45,[Hidden],8a:15:04:53:49:7f,-58.0,6,20,2.4GHz,[WEP][ESS][WEP]
Second,45,Plainsboro-Public-Library,8a:15:04:53:49:70,-58.0,6,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:04:52:23:c0,-59.0,6,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:04:53:49:40,-59.0,6,20,2.4GHz,[ESS][Unknown]
Second,45,Plainsboro-Public-Library,8a:15:14:53:49:70,-60.0,157,40,5GHz,[ESS][Unknown]
